      No     Day     Mon    Year  INConcob0000003  INConcsi0000003
       1       1       1    2012        4.0252094        2.6374565
       2       2       1    2012        4.1103907        2.6844206
       3       3       1    2012        4.1979542        2.7476628
       4       4       1    2012        4.2279797        2.8942158
       5       5       1    2012        4.0649819        2.9981941
       6       6       1    2012        4.6152778        3.1174330
       7       7       1    2012        4.6257095        3.1537238
       8       8       1    2012        4.5419259        3.1849109
       9       9       1    2012        4.4678383        3.2184160
      10      10       1    2012        4.3951077        3.2706068
      11      11       1    2012        4.2262888        3.2886259
      12      12       1    2012        4.0609040        3.2794812
      13      13       1    2012        3.9618514        3.3054625
      14      14       1    2012        3.8284080        3.3393899
      15      15       1    2012        3.7108705        3.3569532
      16      16       1    2012        3.6422548        3.3643848
      17      17       1    2012        3.5661376        3.3641968
      18      18       1    2012        3.4466355        3.3584633
      19      19       1    2012        3.4115078        3.3392435
      20      20       1    2012        3.5105047        3.3872063
      21      21       1    2012        3.3591540        3.3594958
      22      22       1    2012        3.2758272        3.3166841
      23      23       1    2012        3.6563845        3.3467858
      24      24       1    2012        3.9419603        3.3909451
      25      25       1    2012        4.0857196        3.4203194
      26      26       1    2012        4.0591211        3.4402837
      27      27       1    2012        3.9882574        3.4524879
      28      28       1    2012        3.8959458        3.4614488
      29      29       1    2012        3.7759333        3.4744691
      30      30       1    2012        3.6277664        3.4900980
      31      31       1    2012        3.4843056        3.4934399
      32       1       2    2012        3.3432815        3.4812395
      33       2       2    2012        3.4039996        3.4627674
      34       3       2    2012        3.2550647        3.4399599
      35       4       2    2012        3.1214104        3.4133404
      36       5       2    2012        3.0339520        3.3832266
      37       6       2    2012        2.9391124        3.3499109
      38       7       2    2012        2.8080244        3.3136838
      39       8       2    2012        2.6970417        3.2748361
      40       9       2    2012        2.6185038        3.2336580
      41      10       2    2012        2.5244231        3.1904387
      42      11       2    2012        2.4637165        3.1454643
      43      12       2    2012        2.3816695        3.0990162
      44      13       2    2012        2.3598533        3.0513694
      45      14       2    2012        2.3014076        3.0027909
      46      15       2    2012        2.3788190        2.9959548
      47      16       2    2012        2.2540364        2.9564590
      48      17       2    2012        2.0812268        3.2487744
      49      18       2    2012        2.6784618        3.2967151
      50      19       2    2012        2.7804606        3.3320508
      51      20       2    2012        2.7938726        3.3538998
      52      21       2    2012        2.6012557        3.3668637
      53      22       2    2012        2.4672945        3.3766946
      54      23       2    2012        2.4643393        3.3454976
      55      24       2    2012        2.5684609        3.3460612
