      No     Day     Mon    Year     Qobs_0000003     Qsim_0000003
       1       1       1    2012        1.1800000        1.3383477
       2       2       1    2012        1.4100000        1.4378844
       3       3       1    2012        1.4400000        1.6406597
       4       4       1    2012        1.5700000        2.8241821
       5       5       1    2012        5.4600000        3.7981663
       6       6       1    2012        6.0500000        3.3824678
       7       7       1    2012        4.5400000        3.3715766
       8       8       1    2012        4.1100000        3.3911307
       9       9       1    2012        3.7000000        3.4847997
      10      10       1    2012        3.3500000        3.0111907
      11      11       1    2012        3.0100000        2.6420827
      12      12       1    2012        2.6600000        2.7360626
      13      13       1    2012        2.4600000        2.7768866
      14      14       1    2012        2.1900000        2.4469389
      15      15       1    2012        1.9300000        2.1185175
      16      16       1    2012        1.7300000        1.8420165
      17      17       1    2012        1.6200000        1.6137239
      18      18       1    2012        1.4600000        1.4242411
      19      19       1    2012        1.4500000        1.8276551
      20      20       1    2012        1.5500000        1.6844900
      21      21       1    2012        1.3800000        2.5081973
      22      22       1    2012        1.7500000        3.3248085
      23      23       1    2012        2.8700000        3.3446240
      24      24       1    2012        2.7200000        2.9227793
      25      25       1    2012        2.4900000        2.5041697
      26      26       1    2012        2.2000000        2.1599607
      27      27       1    2012        1.9500000        1.8799053
      28      28       1    2012        1.7700000        1.6496100
      29      29       1    2012        1.5900000        1.4582260
      30      30       1    2012        1.3400000        1.2977114
      31      31       1    2012        1.1400000        1.1619889
      32       1       2    2012        0.8800000        1.0463927
      33       2       2    2012        0.7200000        0.9472925
      34       3       2    2012        0.6500000        0.8618301
      35       4       2    2012        0.6600000        0.7877310
      36       5       2    2012        0.7000000        0.7231681
      37       6       2    2012        0.6500000        0.6666601
      38       7       2    2012        0.5600000        0.6169966
      39       8       2    2012        0.5500000        0.5731810
      40       9       2    2012        0.5100000        0.5343873
      41      10       2    2012        0.5100000        0.4999261
      42      11       2    2012        0.5100000        0.4692193
      43      12       2    2012        0.4800000        0.4417786
      44      13       2    2012        0.5100000        0.4171904
      45      14       2    2012        0.5100000        0.3951018
      46      15       2    2012        0.5100000        0.3850746
      47      16       2    2012        0.5100000        0.3668838
      48      17       2    2012        0.5300000        0.8405888
      49      18       2    2012        0.6500000        1.2016581
      50      19       2    2012        1.0000000        1.2754259
      51      20       2    2012        0.8700000        1.1659873
      52      21       2    2012        0.7100000        1.0635762
      53      22       2    2012        0.6400000        0.9962538
      54      23       2    2012        0.6700000        1.0806023
      55      24       2    2012        0.9400000        1.0837939
      56      25       2    2012        0.9900000        0.9936598
      57      26       2    2012        0.9000000        0.9624180
      58      27       2    2012        0.8500000        0.9222650
      59      28       2    2012        0.8300000        0.8921823
      60      29       2    2012        0.8600000        0.8241130
      61       1       3    2012        0.8900000        0.7535392
      62       2       3    2012        0.8500000        0.6904844
      63       3       3    2012        0.8200000        0.6354192
      64       4       3    2012        0.7600000        0.5873111
      65       5       3    2012        0.7500000        0.5451213
      66       6       3    2012        0.7000000        0.5079739
      67       7       3    2012        0.6500000        0.6203391
      68       8       3    2012        0.7400000        0.6168828
      69       9       3    2012        0.7100000        0.5791575
      70      10       3    2012        0.6500000        0.5437593
      71      11       3    2012        0.6300000        0.5117886
      72      12       3    2012        0.6100000        0.4815360
      73      13       3    2012        0.5700000        0.4526802
      74      14       3    2012        0.5100000        0.4260699
      75      15       3    2012        0.5100000        0.4021698
      76      16       3    2012        0.4700000        0.3807853
